'Line#,Adult,Airline,Arrival,Departure,FlightClassCode,AdultFare,ChildFare,AgencyCommission,ChildCommission,GrandTotal'
'Line# 0,1,S1,KATHMANDU,BIRATNAGAR,S,2800.0,2800.0,500,500,2801.0'
'Line# 1,1,SHA,KATHMANDU,BIRATNAGAR,T,2800.0,2800.0,400,400,2801.0'
'Line# 2,1,U4,KATHMANDU,BIRATNAGAR,E,2800.0,2800.0,350,350,2801.0'
'Line# 3,1,SHA,KATHMANDU,BIRATNAGAR,T,2800.0,2800.0,400,400,2801.0'
'Line# 4,1,U4,KATHMANDU,BIRATNAGAR,E,2800.0,2800.0,350,350,2801.0'
'Line# 5,1,SHA,KATHMANDU,BIRATNAGAR,T,2800.0,2800.0,400,400,2801.0'
'Line# 6,1,S1,KATHMANDU,BIRATNAGAR,S,2800.0,2800.0,500,500,2801.0'
'Line# 7,1,U4,KATHMANDU,BIRATNAGAR,E,2800.0,2800.0,350,350,2801.0'
'Line# 8,1,YT,KATHMANDU,BIRATNAGAR,E2,3000.0,2800.0,400,373.3,3001.0'
'Line# 9,1,YT,KATHMANDU,BIRATNAGAR,E2,3000.0,2800.0,400,373.3,3001.0'
'Line# 10,1,YT,KATHMANDU,BIRATNAGAR,E2,3000.0,2800.0,400,373.3,3001.0'
'Line# 11,1,U4,KATHMANDU,BIRATNAGAR,E,3300.0,3300.0,400,400,3301.0'
'Line# 12,1,U4,KATHMANDU,BIRATNAGAR,E,3300.0,3300.0,350,350,3301.0'
'Line# 13,1,YT,KATHMANDU,BIRATNAGAR,H,4500.0,2020.0,400,179.5,4501.0'
'Line# 14,1,YT,KATHMANDU,BIRATNAGAR,H,4500.0,2020.0,400,179.5,4501.0'
'Line# 15,1,YT,KATHMANDU,BIRATNAGAR,H,4500.0,2020.0,400,179.5,4501.0'
'Line# 16,1,U4,KATHMANDU,BIRATNAGAR,C,2370.0,2370.0,189.6,189.6,4651.0'
'Line# 17,1,U4,KATHMANDU,BIRATNAGAR,C,2370.0,2370.0,189.6,189.6,4651.0'
'Line# 18,1,U4,KATHMANDU,BIRATNAGAR,C,2370.0,2370.0,189.6,189.6,4651.0'
'Line# 19,1,U4,KATHMANDU,BIRATNAGAR,C,2370.0,2370.0,189.6,189.6,4651.0'
